BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0.4616725;0.5367088;0.4531984;0.6244813;0;0;0;1.499246;1;0;0;0;0
0;0.6413422;mouse;1;0;0.4660279;0.6236287;0.4531984;0.6244813;0;1;0.6413422;1.499246;1;0.4720073;-0.00105419;0.01285775;0.6566516
0;0.6580534;instantiate;0;0;0.4660279;0.6236287;0.4073299;0.1579278;0;0;0;0.06625652;2;0;0;0;0
0;0.7253528;destroy;0;0;0.4660279;0.6236287;0.4073299;0.1579278;0;0;0.06729937;0.06625652;2;0;0;0;0
0;0.7590542;instantiate;0;0;0.4668989;0.6151899;0.654461;0.8714503;0;0;0;3.237635;3;0;0;0;0
0;1.520048;mouse;1;0;0.6402439;0.8455696;0.654461;0.8714503;0;1;0.760994;3.237635;1;0;0.4363635;0.0320553;2.593365
0;1.520048;instantiate;0;0;0.6402439;0.8455696;0.9109659;0.4842346;0;0;0;1.999369;4;0;0;0;0
0;2.116717;mouse;1;0;0.8937282;0.4860759;0.9109659;0.4842346;0;1;0.5966692;1.999369;1;0.1016703;0.276729;0.01898041;2.200698
0;2.133385;instantiate;0;0;0.8937282;0.4860759;0.4099535;0.3228815;0;0;0;1.354082;5;0;0;0;0
0;2.704082;mouse;1;0;0.3980836;0.2953587;0.4099535;0.3228815;0;1;0.5706978;1.354082;1;0.06764603;0.1009658;0.02997329;2.079203
0;2.720961;instantiate;0;0;0.3980836;0.2953587;0.1156326;0.05771006;0;0;0;2.699671;6;0;0;0;0
0;3.464747;mouse;1;0;0.1141115;0.08185654;0.1156326;0.0809041;0;1;0.7437868;2.699671;1;0.1012716;0.07896924;0.001910326;2.054801
1;0;instantiate;0;0;0.6454704;0.6219409;0.2943575;0.3864407;0;0;0;1.50569;7;0;0;0;0
1;0.5572157;mouse;1;0;0.2770035;0.3839662;0.2943575;0.3864407;0;1;1.112483;1.50569;1;0.6873531;0.03876874;0.01681368;2.560553
1;0.5738821;instantiate;0;0;0.2770035;0.3839662;0.445406;0.1207587;0;0;0;0.5975633;8;0;0;0;0
1;0.8782701;destroy;0;0;0.4285714;0.1333333;0.445406;0.1207587;0;0;0.6096964;0.5975633;8;0;0;0;0
1;0.8782701;instantiate;0;0;0.4285714;0.1333333;0.1616368;0.8298592;0;0;0;1.232587;9;0;0;0;0
1;0.8956051;mouse;0;0;0.4285714;0.1333333;0.1616368;0.8298592;0;1;0.01733494;1.232587;1;0.6873531;0.03876874;0.01681368;2.560553
1;1.232702;mouse;1;0;0.1803136;0.8126583;0.1616368;0.8298592;0;1;0.7084284;1.232587;1;0.1340151;0.124711;0.02603829;3.487202
1;1.249367;instantiate;0;0;0.1803136;0.8126583;0.8212629;0.5326762;0;0;0;0.5276756;10;0;0;0;0
1;1.518406;destroy;0;0;0.8179442;0.5291139;0.8212629;0.5326762;0;0;0.5384903;0.5276756;10;0;0;0;0
1;1.518406;instantiate;0;0;0.8196864;0.5358649;0.8954982;0.2403046;0;0;0;3.380611;11;0;0;0;0
1;1.53544;mouse;0;0;0.8205575;0.5383966;0.8954982;0.2403046;0;1;0.03370094;3.380611;1;0.1340151;0.124711;0.02603829;3.487202
1;1.836851;mouse;0;0;0.8554007;0.2742616;0.8954982;0.2403046;0;1;0.6215515;3.380611;1;0.1340151;0.124711;0.02603829;3.487202
1;2.039907;mouse;1;0;0.8754355;0.243038;0.8954982;0.2403046;0;1;1.026171;3.380611;1;0.1180229;0.3710304;0.02024798;3.181439
1;2.056576;instantiate;0;0;0.8754355;0.243038;0.7644136;0.732798;0;0;0;2.759813;12;0;0;0;0
1;2.360382;mouse;1;0;0.7865854;0.7527426;0.7644136;0.732798;0;1;0.5899258;2.759813;1;0.05140114;0.2959757;0.02926472;2.474545
1;2.377048;instantiate;0;0;0.7865854;0.7527426;0.06957746;0.2107644;0;0;0;1.798399;13;0;0;0;0
1;2.766619;mouse;1;0;0.07839721;0.2371308;0.06957746;0.2107644;0;1;0.7604351;1.798399;1;0.1174088;0.06742853;0.03288977;4.665003
1;2.766619;instantiate;0;0;0.07839721;0.2371308;0.4553813;0.1597826;0;0;0;2.789932;14;0;0;0;0
1;3.054338;mouse;1;0;0.489547;0.1468354;0.4553813;0.1597826;0;1;0.5903873;2.789932;1;0.1009674;0.3132504;0.04202295;2.720075
