BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,4703947;0,4162479;0,0686264;0,5284057;0;0;0;2,5;1
0;1,617085;mouse;1;0;0,04769737;0,5393635;0,0686264;0,5284057;0;0,8767025;1,617085;2,5;1
0;2,421806;instantiate;0;1;0,02960526;0,4145729;0,5963063;0,4185823;0;0;0;2,5;2
0;4,292835;mouse;1;1;0,5929276;0,4279732;0,5963063;0,4185823;0;0,7679412;1,871029;2,5;1
0;5,030834;instantiate;0;2;0,5287829;0,4045226;0,06530651;0,5006918;0;0;0;2,5;3
0;6,507839;mouse;1;2;0,046875;0,5125628;0,06530651;0,5006918;0;0,9289509;1,477005;2,5;1
0;7,884861;instantiate;0;3;0,165296;0,3417085;0,4160959;0,841057;0;0;0;2,5;4
0;9,432163;mouse;1;3;0,4111842;0,8216081;0,4160959;0,841057;0;0,9032974;1,547302;2,5;1
0;10,02095;instantiate;0;4;0,3856908;0,7747068;0,8794985;0,1438047;0;0;0;2,5;5
0;12,33762;mouse;1;4;0,8815789;0,1599665;0,8794985;0,1438047;0;0,4807729;2,316666;2,5;1
0;12,40467;instantiate;0;5;0,8815789;0,1599665;0,1508488;0,5593159;0;0;0;2,5;6
0;14,91378;destroy;0;5;0,1208882;0,6113903;0,1508488;0,5593159;0;0;2,509109;2,5;6
0;15,1335;instantiate;0;6;0,1282895;0,5921273;0,8280829;0,4104783;0;0;0;2,5;7
0;16,81304;mouse;1;6;0,8042763;0,4078727;0,8280829;0,4104783;0;0,8519646;1,679539;2,5;1
0;17,84104;instantiate;0;7;0,6192434;0,4103853;0,4125496;0,7370594;0;0;0;2,5;8
0;19,20298;mouse;1;7;0,4169408;0,7462311;0,4125496;0,7370594;0;0,9688935;1,361942;2,5;1
0;20,63782;instantiate;0;8;0,2894737;0,6809045;0,2360418;0,4688753;0;0;0;2,5;9
0;22,33635;mouse;1;8;0,2467105;0,4656616;0,2360418;0,4688753;0;0,844044;1,698532;2,5;1
0;23,57925;instantiate;0;9;0,2228618;0,458124;0,5526825;0,929193;0;0;0;2,5;10
0;25,51386;mouse;0;9;0,5740132;0,9840871;0,5526825;0,9235198;0;0,7365844;1,934608;2,5;1
0;26,0872;destroy;0;10;0,5139803;0,9313233;0,5526825;0,9235198;0;0;2,507946;2,5;10
1;0;instantiate;0;0;0,3379934;0,7211055;0,595984;0,06025851;0;0;0;2,5;11
1;1,730522;mouse;1;0;0,6019737;0,09380235;0,595984;0,08030725;0;0,8308746;1,730522;2,5;1
1;2,151436;instantiate;0;1;0,5805921;0,09296482;0,7516444;0,7840952;0;0;0;2,5;12
1;3,867424;mouse;1;1;0,7582237;0,8107203;0,7516444;0,7840952;0;0,8368064;1,715988;2,5;1
1;4,810768;instantiate;0;2;0,5707237;0,7160804;0,5607407;0,6739045;0;0;0;2,5;13
1;6,244049;mouse;0;2;0,5296053;0,7093802;0,5607407;0,6739045;0;0,9443866;1,433281;2,5;1
1;6,817085;instantiate;0;3;0,5287829;0,701005;0,5146239;0,5845004;0;0;0;2,5;14
1;7,104057;mouse;1;3;0,5427632;0,6792295;0,5607407;0,6739045;0;0,5021744;2,293289;2,5;2
1;8,991386;mouse;0;3;0,4399671;0,5946398;0,5146239;0,5845004;0;0,5959368;2,174301;2,5;1
1;9,329384;destroy;0;3;0,46875;0,6072027;0,5146239;0,5845004;0;0;2,512299;2,5;14
1;9,681389;instantiate;0;4;0,4695724;0,6046901;0,5701059;0,2148038;0;0;0;2,5;15
1;11,35139;mouse;1;4;0,5830592;0,2018425;0,5701059;0,2148038;0;0,8558337;1,669998;2,5;1
1;11,60305;instantiate;0;5;0,5830592;0,2018425;0,5958447;0,3320092;0;0;0;2,5;16
1;12,91339;mouse;1;5;0,5921053;0,3291457;0,5958447;0,3320092;0;0,9859859;1,310341;2,5;1
1;14,27508;instantiate;0;6;0,4794408;0,3048576;0,9249037;0,7218854;0;0;0;2,5;17
1;15,95705;mouse;1;6;0,9457237;0,7185929;0,9249037;0,7218854;0;0,8508349;1,681976;2,5;1
1;16,9014;instantiate;0;7;0,8248355;0,6490787;0,2987212;0,06568244;0;0;0;2,5;18
1;18,83238;instantiate;0;8;0,2870066;0,09798995;0,06730053;0,7905406;0;0;0;2,5;19
1;19,00108;mouse;1;8;0,287829;0,09715243;0,2987212;0,08030033;0;0,6445906;2,099678;2,5;2
1;21,23394;mouse;0;8;0,05180921;0,8174204;0,06730053;0,7905406;0;0,3851884;2,401558;2,5;1
1;21,33497;destroy;0;8;0,05180921;0,8174204;0,06730053;0,7905406;0;0;2,502586;2,5;19
1;21,75398;instantiate;0;9;0,05180921;0,7939699;0,819304;0,4404916;0;0;0;2,5;20
1;23,30167;mouse;1;9;0,8215461;0,4422111;0,819304;0,4404916;0;0,9031538;1,547684;2,5;1
