BlockNumber;SeqNumber;ItemNumber;buttonPressed;buttonTarget;CircleTarget;timeAvailable;timeToButtonPressed
0;0;0;-1;3;1;1000;2500
0;0;1;-1;1;4;550;2500
0;0;2;-1;3;1;900;2500
0;0;3;-1;0;2;750;2500
0;0;4;-1;2;5;600;2500
0;0;5;-1;0;0;300;2500
0;0;6;-1;1;3;400;2500
0;0;7;-1;2;0;1000;2500
0;0;8;-1;3;4;500;2500
0;0;9;-1;2;3;800;2500
0;0;10;-1;0;5;650;2500
0;0;11;-1;1;2;700;2500
0;1;0;3;3;4;650;1061
0;1;1;2;2;5;600;1010
0;1;2;1;1;2;300;943
0;1;3;2;2;1;1000;1060
0;1;4;1;1;5;900;981
0;1;5;0;0;0;800;695
0;1;6;3;3;1;750;1112
0;1;7;2;2;0;400;909
0;1;8;1;1;3;1000;1279
0;1;9;0;0;2;500;775
0;1;10;3;3;3;700;755
0;1;11;0;0;4;550;790
1;0;0;2;2;0;1000;1077
1;0;1;1;1;3;500;976
1;0;2;0;0;2;650;689
1;0;3;2;2;5;900;926
1;0;4;-1;3;1;1000;2500
1;0;5;-1;1;3;400;2500
1;0;6;-1;2;4;550;2500
1;0;7;-1;0;2;800;2500
1;0;8;-1;3;1;600;2500
1;0;9;-1;1;0;750;2500
1;0;10;-1;0;5;300;2500
1;0;11;-1;3;4;700;2500
1;1;0;-1;2;0;1000;2500
1;1;1;-1;1;3;500;2500
1;1;2;-1;0;2;650;2500
1;1;3;-1;2;5;900;2500
1;1;4;-1;3;1;1000;2500
1;1;5;-1;1;3;400;2500
1;1;6;-1;2;4;550;2500
1;1;7;-1;0;2;800;2500
1;1;8;-1;3;1;600;2500
1;1;9;-1;1;0;750;2500
1;1;10;-1;0;5;300;2500
1;1;11;-1;3;4;700;2500
